label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"9,226",,,,,,,,,,,,
Under 5 Years,594,,,,,,,,,,,,
5 to 9 Years,597,,,,,,,,,,,,
10 to 14 Years,723,,,,,,,,,,,,
15 to 17 Years,267,,,,,,,,,,,,
18 to 24 Years,"1,091",,,,,,,,,,,,
25 to 34 Years,"1,226",,,,,,,,,,,,
35 to 44 Years,998,,,,,,,,,,,,
45 to 54 Years,"1,096",,,,,,,,,,,,
55 to 64 Years,"1,160",,,,,,,,,,,,
65 to 74 Years,873,,,,,,,,,,,,
75 to 84 Years,467,,,,,,,,,,,,
85 Years and Over,134,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"9,226",,,,,,,,,,,,
White Alone,510,,,,,,,,,,,,
Black or African American Alone,"8,368",,,,,,,,,,,,
American Indian and Alaska Native Alone,81,,,,,,,,,,,,
Asian Alone,0,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,76,,,,,,,,,,,,
Two or More Races,191,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),,,,,,,,,,,,,
Population 25 Years and Over:,"5,954",,,,,,,,,,,,
Less than High School,"1,041",,,,,,,,,,,,
High School Diploma,"3,962",,,,,,,,,,,,
Bachelor's Degree or Better,951,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,133",,,,,,,,,,,,
Living in Poverty,"1,124",,,,,,,,,,,,
At or Above Poverty Level,"1,009",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"4,923",,,,,,,,,,,,
Living in Poverty,"1,298",,,,,,,,,,,,
At or Above Poverty Level,"3,625",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,392",,,,,,,,,,,,
Living in Poverty,173,,,,,,,,,,,,
At or Above Poverty Level,"1,219",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
