label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"25,683",,,,,,,,,,,,
Under 5 Years,"1,876",,,,,,,,,,,,
5 to 9 Years,"1,588",,,,,,,,,,,,
10 to 14 Years,"1,600",,,,,,,,,,,,
15 to 17 Years,927,,,,,,,,,,,,
18 to 24 Years,"2,363",,,,,,,,,,,,
25 to 34 Years,"5,643",,,,,,,,,,,,
35 to 44 Years,"3,879",,,,,,,,,,,,
45 to 54 Years,"3,394",,,,,,,,,,,,
55 to 64 Years,"2,323",,,,,,,,,,,,
65 to 74 Years,"1,195",,,,,,,,,,,,
75 to 84 Years,665,,,,,,,,,,,,
85 Years and Over,230,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"25,683",,,,,,,,,,,,
White Alone,"11,088",,,,,,,,,,,,
Black or African American Alone,"13,177",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,414,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,314,,,,,,,,,,,,
Two or More Races,690,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"17,329",,,,,,,,,,,,
Less than High School,"3,072",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"4,092",,,,,,,,,,,,
Some College,"3,746",,,,,,,,,,,,
Bachelor's Degree,"3,699",,,,,,,,,,,,
Master's Degree,"1,699",,,,,,,,,,,,
Professional School Degree,619,,,,,,,,,,,,
Doctorate Degree,402,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"5,928",,,,,,,,,,,,
Living in Poverty,"3,337",,,,,,,,,,,,
At or Above Poverty Level,"2,591",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"17,595",,,,,,,,,,,,
Living in Poverty,"3,939",,,,,,,,,,,,
At or Above Poverty Level,"13,656",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"2,065",,,,,,,,,,,,
Living in Poverty,584,,,,,,,,,,,,
At or Above Poverty Level,"1,481",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
