label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"39,906",,,,,,,,,,,,
Under 5 Years,"3,214",,,,,,,,,,,,
5 to 9 Years,"1,594",,,,,,,,,,,,
10 to 14 Years,"1,940",,,,,,,,,,,,
15 to 17 Years,"1,073",,,,,,,,,,,,
18 to 24 Years,"3,027",,,,,,,,,,,,
25 to 34 Years,"8,141",,,,,,,,,,,,
35 to 44 Years,"5,551",,,,,,,,,,,,
45 to 54 Years,"6,292",,,,,,,,,,,,
55 to 64 Years,"4,028",,,,,,,,,,,,
65 to 74 Years,"2,400",,,,,,,,,,,,
75 to 84 Years,"1,733",,,,,,,,,,,,
85 Years and Over,913,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"39,906",,,,,,,,,,,,
White Alone,"35,005",,,,,,,,,,,,
Black or African American Alone,"2,862",,,,,,,,,,,,
American Indian and Alaska Native Alone,206,,,,,,,,,,,,
Asian Alone,703,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,360,,,,,,,,,,,,
Two or More Races,770,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"29,058",,,,,,,,,,,,
Less than High School,"3,275",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"7,827",,,,,,,,,,,,
Some College,"8,303",,,,,,,,,,,,
Bachelor's Degree,"5,637",,,,,,,,,,,,
Master's Degree,"3,256",,,,,,,,,,,,
Professional School Degree,531,,,,,,,,,,,,
Doctorate Degree,229,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"7,797",,,,,,,,,,,,
Living in Poverty,988,,,,,,,,,,,,
At or Above Poverty Level,"6,809",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"27,039",,,,,,,,,,,,
Living in Poverty,"2,827",,,,,,,,,,,,
At or Above Poverty Level,"24,212",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"5,046",,,,,,,,,,,,
Living in Poverty,233,,,,,,,,,,,,
At or Above Poverty Level,"4,813",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
