,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"33,485",,,,,,,,,,,,
Under 5 Years,"2,654",,,,,,,,,,,,
5 to 9 Years,"1,716",,,,,,,,,,,,
10 to 14 Years,"1,738",,,,,,,,,,,,
15 to 17 Years,"1,256",,,,,,,,,,,,
18 to 24 Years,"3,387",,,,,,,,,,,,
25 to 34 Years,"5,848",,,,,,,,,,,,
35 to 44 Years,"4,476",,,,,,,,,,,,
45 to 54 Years,"5,358",,,,,,,,,,,,
55 to 64 Years,"3,425",,,,,,,,,,,,
65 to 74 Years,"1,664",,,,,,,,,,,,
75 to 84 Years,"1,244",,,,,,,,,,,,
85 Years and Over,719,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"33,485",,,,,,,,,,,,
White Alone,"21,520",,,,,,,,,,,,
Black or African American Alone,"9,694",,,,,,,,,,,,
American Indian and Alaska Native Alone,272,,,,,,,,,,,,
Asian Alone,717,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,290,,,,,,,,,,,,
Two or More Races,992,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"22,734",,,,,,,,,,,,
Less than High School,"5,011",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"7,387",,,,,,,,,,,,
Some College,"6,354",,,,,,,,,,,,
Bachelor's Degree,"2,683",,,,,,,,,,,,
Master's Degree,"1,021",,,,,,,,,,,,
Professional School Degree,159,,,,,,,,,,,,
Doctorate Degree,119,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"7,082",,,,,,,,,,,,
Living in Poverty,"2,528",,,,,,,,,,,,
At or Above Poverty Level,"4,554",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"22,464",,,,,,,,,,,,
Living in Poverty,"4,983",,,,,,,,,,,,
At or Above Poverty Level,"17,481",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"3,280",,,,,,,,,,,,
Living in Poverty,477,,,,,,,,,,,,
At or Above Poverty Level,"2,803",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
