,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"9,171",,,,,,,,,,,,
Under 5 Years,709,,,,,,,,,,,,
5 to 9 Years,591,,,,,,,,,,,,
10 to 14 Years,491,,,,,,,,,,,,
15 to 17 Years,335,,,,,,,,,,,,
18 to 24 Years,972,,,,,,,,,,,,
25 to 34 Years,"2,232",,,,,,,,,,,,
35 to 44 Years,"1,100",,,,,,,,,,,,
45 to 54 Years,"1,326",,,,,,,,,,,,
55 to 64 Years,793,,,,,,,,,,,,
65 to 74 Years,410,,,,,,,,,,,,
75 to 84 Years,164,,,,,,,,,,,,
85 Years and Over,48,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"9,171",,,,,,,,,,,,
White Alone,"2,968",,,,,,,,,,,,
Black or African American Alone,"5,740",,,,,,,,,,,,
American Indian and Alaska Native Alone,4,,,,,,,,,,,,
Asian Alone,197,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,2,,,,,,,,,,,,
Two or More Races,260,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"6,073",,,,,,,,,,,,
Less than High School,"1,029",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,371",,,,,,,,,,,,
Some College,"1,645",,,,,,,,,,,,
Bachelor's Degree,"1,157",,,,,,,,,,,,
Master's Degree,539,,,,,,,,,,,,
Professional School Degree,237,,,,,,,,,,,,
Doctorate Degree,95,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,126",,,,,,,,,,,,
Living in Poverty,"1,103",,,,,,,,,,,,
At or Above Poverty Level,"1,023",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"6,330",,,,,,,,,,,,
Living in Poverty,"1,905",,,,,,,,,,,,
At or Above Poverty Level,"4,425",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,622,,,,,,,,,,,,
Living in Poverty,300,,,,,,,,,,,,
At or Above Poverty Level,322,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
