label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"36,157",,,,,,,,,,,,
Under 5 Years,"2,384",,,,,,,,,,,,
5 to 9 Years,"2,778",,,,,,,,,,,,
10 to 14 Years,"3,046",,,,,,,,,,,,
15 to 17 Years,"2,408",,,,,,,,,,,,
18 to 24 Years,"3,697",,,,,,,,,,,,
25 to 34 Years,"3,897",,,,,,,,,,,,
35 to 44 Years,"3,521",,,,,,,,,,,,
45 to 54 Years,"5,297",,,,,,,,,,,,
55 to 64 Years,"3,528",,,,,,,,,,,,
65 to 74 Years,"2,585",,,,,,,,,,,,
75 to 84 Years,"2,295",,,,,,,,,,,,
85 Years and Over,721,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"36,157",,,,,,,,,,,,
White Alone,397,,,,,,,,,,,,
Black or African American Alone,"35,397",,,,,,,,,,,,
American Indian and Alaska Native Alone,5,,,,,,,,,,,,
Asian Alone,3,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,95,,,,,,,,,,,,
Two or More Races,260,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"21,844",,,,,,,,,,,,
Less than High School,"6,167",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"6,857",,,,,,,,,,,,
Some College,"6,350",,,,,,,,,,,,
Bachelor's Degree,"1,760",,,,,,,,,,,,
Master's Degree,655,,,,,,,,,,,,
Professional School Degree,26,,,,,,,,,,,,
Doctorate Degree,29,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"10,419",,,,,,,,,,,,
Living in Poverty,"5,217",,,,,,,,,,,,
At or Above Poverty Level,"5,202",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"19,752",,,,,,,,,,,,
Living in Poverty,"6,534",,,,,,,,,,,,
At or Above Poverty Level,"13,218",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"5,527",,,,,,,,,,,,
Living in Poverty,935,,,,,,,,,,,,
At or Above Poverty Level,"4,592",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
