,Social Explorer - ACS 2019 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A00001. Total Population,,,,,,,,,,,,,
Total Population,"27,827",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"27,827",,,,,,,,,,,,
Under 5 Years,"1,772",,,,,,,,,,,,
5 to 9 Years,"1,757",,,,,,,,,,,,
10 to 14 Years,"1,914",,,,,,,,,,,,
15 to 17 Years,"1,140",,,,,,,,,,,,
18 to 24 Years,"2,430",,,,,,,,,,,,
25 to 34 Years,"3,369",,,,,,,,,,,,
35 to 44 Years,"2,566",,,,,,,,,,,,
45 to 54 Years,"3,313",,,,,,,,,,,,
55 to 64 Years,"4,703",,,,,,,,,,,,
65 to 74 Years,"2,420",,,,,,,,,,,,
75 to 84 Years,"1,566",,,,,,,,,,,,
85 Years and Over,877,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"27,827",,,,,,,,,,,,
White Alone,462,,,,,,,,,,,,
Black or African American Alone,"26,935",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,9,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,16,,,,,,,,,,,,
Some Other Race Alone,40,,,,,,,,,,,,
Two or More Races,365,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),,,,,,,,,,,,,
Population 25 Years and Over:,"18,814",,,,,,,,,,,,
Less than High School,"3,836",,,,,,,,,,,,
High School Diploma,"12,658",,,,,,,,,,,,
Bachelor's Degree or Better,"2,320",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"6,413",,,,,,,,,,,,
Living in Poverty,"2,831",,,,,,,,,,,,
At or Above Poverty Level,"3,582",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"16,046",,,,,,,,,,,,
Living in Poverty,"4,842",,,,,,,,,,,,
At or Above Poverty Level,"11,204",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"4,702",,,,,,,,,,,,
Living in Poverty,913,,,,,,,,,,,,
At or Above Poverty Level,"3,789",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
