,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"13,783",,,,,,,,,,,,
Under 5 Years,662,,,,,,,,,,,,
5 to 9 Years,678,,,,,,,,,,,,
10 to 14 Years,665,,,,,,,,,,,,
15 to 17 Years,406,,,,,,,,,,,,
18 to 24 Years,"1,412",,,,,,,,,,,,
25 to 34 Years,"2,886",,,,,,,,,,,,
35 to 44 Years,"1,972",,,,,,,,,,,,
45 to 54 Years,"2,030",,,,,,,,,,,,
55 to 64 Years,"1,645",,,,,,,,,,,,
65 to 74 Years,691,,,,,,,,,,,,
75 to 84 Years,543,,,,,,,,,,,,
85 Years and Over,193,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"13,783",,,,,,,,,,,,
White Alone,"11,906",,,,,,,,,,,,
Black or African American Alone,984,,,,,,,,,,,,
American Indian and Alaska Native Alone,11,,,,,,,,,,,,
Asian Alone,327,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,29,,,,,,,,,,,,
Some Other Race Alone,192,,,,,,,,,,,,
Two or More Races,334,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"9,960",,,,,,,,,,,,
Less than High School,"1,121",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"2,250",,,,,,,,,,,,
Some College,"2,852",,,,,,,,,,,,
Bachelor's Degree,"2,176",,,,,,,,,,,,
Master's Degree,"1,190",,,,,,,,,,,,
Professional School Degree,290,,,,,,,,,,,,
Doctorate Degree,81,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,361",,,,,,,,,,,,
Living in Poverty,106,,,,,,,,,,,,
At or Above Poverty Level,"2,255",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"9,945",,,,,,,,,,,,
Living in Poverty,726,,,,,,,,,,,,
At or Above Poverty Level,"9,219",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,427",,,,,,,,,,,,
Living in Poverty,125,,,,,,,,,,,,
At or Above Poverty Level,"1,302",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
