label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"13,081",,,,,,,,,,,,
Under 5 Years,721,,,,,,,,,,,,
5 to 9 Years,542,,,,,,,,,,,,
10 to 14 Years,504,,,,,,,,,,,,
15 to 17 Years,284,,,,,,,,,,,,
18 to 24 Years,677,,,,,,,,,,,,
25 to 34 Years,"3,015",,,,,,,,,,,,
35 to 44 Years,"2,233",,,,,,,,,,,,
45 to 54 Years,"1,537",,,,,,,,,,,,
55 to 64 Years,"1,977",,,,,,,,,,,,
65 to 74 Years,"1,103",,,,,,,,,,,,
75 to 84 Years,377,,,,,,,,,,,,
85 Years and Over,111,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"13,081",,,,,,,,,,,,
White Alone,"11,287",,,,,,,,,,,,
Black or African American Alone,820,,,,,,,,,,,,
American Indian and Alaska Native Alone,52,,,,,,,,,,,,
Asian Alone,277,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,134,,,,,,,,,,,,
Two or More Races,511,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),,,,,,,,,,,,,
Population 25 Years and Over:,"10,353",,,,,,,,,,,,
Less than High School,665,,,,,,,,,,,,
High School Diploma,"4,926",,,,,,,,,,,,
Bachelor's Degree or Better,"4,762",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,004",,,,,,,,,,,,
Living in Poverty,267,,,,,,,,,,,,
At or Above Poverty Level,"1,737",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"9,432",,,,,,,,,,,,
Living in Poverty,604,,,,,,,,,,,,
At or Above Poverty Level,"8,828",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,585",,,,,,,,,,,,
Living in Poverty,105,,,,,,,,,,,,
At or Above Poverty Level,"1,480",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
