label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"6,104,910",,,,,,,,,,,,
Under 5 Years,"371,570",,,,,,,,,,,,
5 to 9 Years,"380,117",,,,,,,,,,,,
10 to 14 Years,"392,875",,,,,,,,,,,,
15 to 17 Years,"237,050",,,,,,,,,,,,
18 to 24 Years,"573,249",,,,,,,,,,,,
25 to 34 Years,"813,407",,,,,,,,,,,,
35 to 44 Years,"738,183",,,,,,,,,,,,
45 to 54 Years,"769,927",,,,,,,,,,,,
55 to 64 Years,"821,807",,,,,,,,,,,,
65 to 74 Years,"577,726",,,,,,,,,,,,
75 to 84 Years,"304,226",,,,,,,,,,,,
85 Years and Over,"124,773",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"6,104,910",,,,,,,,,,,,
White Alone,"5,015,904",,,,,,,,,,,,
Black or African American Alone,"701,334",,,,,,,,,,,,
American Indian and Alaska Native Alone,"27,084",,,,,,,,,,,,
Asian Alone,"120,654",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,"8,231",,,,,,,,,,,,
Some Other Race Alone,"71,335",,,,,,,,,,,,
Two or More Races,"160,368",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"4,150,049",,,,,,,,,,,,
Less than High School,"418,266",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,270,622",,,,,,,,,,,,
Some College,"1,248,599",,,,,,,,,,,,
Bachelor's Degree,"745,843",,,,,,,,,,,,
Master's Degree,"340,251",,,,,,,,,,,,
Professional School Degree,"74,401",,,,,,,,,,,,
Doctorate Degree,"52,067",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"1,351,348",,,,,,,,,,,,
Living in Poverty,"252,071",,,,,,,,,,,,
At or Above Poverty Level,"1,099,277",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"3,601,816",,,,,,,,,,,,
Living in Poverty,"474,886",,,,,,,,,,,,
At or Above Poverty Level,"3,126,930",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"969,406",,,,,,,,,,,,
Living in Poverty,"83,088",,,,,,,,,,,,
At or Above Poverty Level,"886,318",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
