label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"318,809",,,,,,,,,,,,
Under 5 Years,"21,247",,,,,,,,,,,,
5 to 9 Years,"17,428",,,,,,,,,,,,
10 to 14 Years,"19,474",,,,,,,,,,,,
15 to 17 Years,"13,002",,,,,,,,,,,,
18 to 24 Years,"37,748",,,,,,,,,,,,
25 to 34 Years,"55,004",,,,,,,,,,,,
35 to 44 Years,"41,418",,,,,,,,,,,,
45 to 54 Years,"45,269",,,,,,,,,,,,
55 to 64 Years,"32,009",,,,,,,,,,,,
65 to 74 Years,"17,618",,,,,,,,,,,,
75 to 84 Years,"13,036",,,,,,,,,,,,
85 Years and Over,"5,556",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"318,809",,,,,,,,,,,,
White Alone,"140,629",,,,,,,,,,,,
Black or African American Alone,"158,863",,,,,,,,,,,,
American Indian and Alaska Native Alone,754,,,,,,,,,,,,
Asian Alone,"8,581",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,45,,,,,,,,,,,,
Some Other Race Alone,"2,369",,,,,,,,,,,,
Two or More Races,"7,568",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"209,910",,,,,,,,,,,,
Less than High School,"40,795",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"56,875",,,,,,,,,,,,
Some College,"55,792",,,,,,,,,,,,
Bachelor's Degree,"32,276",,,,,,,,,,,,
Master's Degree,"15,811",,,,,,,,,,,,
Professional School Degree,"5,380",,,,,,,,,,,,
Doctorate Degree,"2,981",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"70,083",,,,,,,,,,,,
Living in Poverty,"27,968",,,,,,,,,,,,
At or Above Poverty Level,"42,115",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"205,053",,,,,,,,,,,,
Living in Poverty,"46,348",,,,,,,,,,,,
At or Above Poverty Level,"158,705",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"34,241",,,,,,,,,,,,
Living in Poverty,"6,181",,,,,,,,,,,,
At or Above Poverty Level,"28,060",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
