,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"11,167",,,,,,,,,,,,
Under 5 Years,571,,,,,,,,,,,,
5 to 9 Years,510,,,,,,,,,,,,
10 to 14 Years,644,,,,,,,,,,,,
15 to 17 Years,520,,,,,,,,,,,,
18 to 24 Years,"1,416",,,,,,,,,,,,
25 to 34 Years,"1,519",,,,,,,,,,,,
35 to 44 Years,"1,457",,,,,,,,,,,,
45 to 54 Years,"2,230",,,,,,,,,,,,
55 to 64 Years,"1,233",,,,,,,,,,,,
65 to 74 Years,601,,,,,,,,,,,,
75 to 84 Years,327,,,,,,,,,,,,
85 Years and Over,139,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"11,167",,,,,,,,,,,,
White Alone,799,,,,,,,,,,,,
Black or African American Alone,"10,244",,,,,,,,,,,,
American Indian and Alaska Native Alone,0,,,,,,,,,,,,
Asian Alone,0,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,13,,,,,,,,,,,,
Two or More Races,111,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"7,506",,,,,,,,,,,,
Less than High School,"1,720",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"2,717",,,,,,,,,,,,
Some College,"2,426",,,,,,,,,,,,
Bachelor's Degree,508,,,,,,,,,,,,
Master's Degree,115,,,,,,,,,,,,
Professional School Degree,13,,,,,,,,,,,,
Doctorate Degree,7,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,165",,,,,,,,,,,,
Living in Poverty,887,,,,,,,,,,,,
At or Above Poverty Level,"1,278",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"6,441",,,,,,,,,,,,
Living in Poverty,"1,491",,,,,,,,,,,,
At or Above Poverty Level,"4,950",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,903,,,,,,,,,,,,
Living in Poverty,185,,,,,,,,,,,,
At or Above Poverty Level,718,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
