label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"87,174",,,,,,,,,,,,
Under 5 Years,"6,530",,,,,,,,,,,,
5 to 9 Years,"3,988",,,,,,,,,,,,
10 to 14 Years,"4,343",,,,,,,,,,,,
15 to 17 Years,"2,735",,,,,,,,,,,,
18 to 24 Years,"7,826",,,,,,,,,,,,
25 to 34 Years,"16,875",,,,,,,,,,,,
35 to 44 Years,"11,999",,,,,,,,,,,,
45 to 54 Years,"13,680",,,,,,,,,,,,
55 to 64 Years,"9,098",,,,,,,,,,,,
65 to 74 Years,"4,755",,,,,,,,,,,,
75 to 84 Years,"3,520",,,,,,,,,,,,
85 Years and Over,"1,825",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"87,174",,,,,,,,,,,,
White Alone,"68,431",,,,,,,,,,,,
Black or African American Alone,"13,540",,,,,,,,,,,,
American Indian and Alaska Native Alone,489,,,,,,,,,,,,
Asian Alone,"1,747",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,29,,,,,,,,,,,,
Some Other Race Alone,842,,,,,,,,,,,,
Two or More Races,"2,096",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"61,752",,,,,,,,,,,,
Less than High School,"9,407",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"17,464",,,,,,,,,,,,
Some College,"17,509",,,,,,,,,,,,
Bachelor's Degree,"10,496",,,,,,,,,,,,
Master's Degree,"5,467",,,,,,,,,,,,
Professional School Degree,980,,,,,,,,,,,,
Doctorate Degree,429,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"17,240",,,,,,,,,,,,
Living in Poverty,"3,622",,,,,,,,,,,,
At or Above Poverty Level,"13,618",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"59,448",,,,,,,,,,,,
Living in Poverty,"8,536",,,,,,,,,,,,
At or Above Poverty Level,"50,912",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"9,753",,,,,,,,,,,,
Living in Poverty,835,,,,,,,,,,,,
At or Above Poverty Level,"8,918",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
