,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"9,600",,,,,,,,,,,,
Under 5 Years,677,,,,,,,,,,,,
5 to 9 Years,682,,,,,,,,,,,,
10 to 14 Years,820,,,,,,,,,,,,
15 to 17 Years,459,,,,,,,,,,,,
18 to 24 Years,993,,,,,,,,,,,,
25 to 34 Years,"1,372",,,,,,,,,,,,
35 to 44 Years,"1,230",,,,,,,,,,,,
45 to 54 Years,"1,370",,,,,,,,,,,,
55 to 64 Years,871,,,,,,,,,,,,
65 to 74 Years,559,,,,,,,,,,,,
75 to 84 Years,461,,,,,,,,,,,,
85 Years and Over,106,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"9,600",,,,,,,,,,,,
White Alone,"1,034",,,,,,,,,,,,
Black or African American Alone,"8,386",,,,,,,,,,,,
American Indian and Alaska Native Alone,13,,,,,,,,,,,,
Asian Alone,0,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,102,,,,,,,,,,,,
Two or More Races,65,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"5,969",,,,,,,,,,,,
Less than High School,"1,865",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,761",,,,,,,,,,,,
Some College,"1,685",,,,,,,,,,,,
Bachelor's Degree,437,,,,,,,,,,,,
Master's Degree,193,,,,,,,,,,,,
Professional School Degree,9,,,,,,,,,,,,
Doctorate Degree,19,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,617",,,,,,,,,,,,
Living in Poverty,"1,423",,,,,,,,,,,,
At or Above Poverty Level,"1,194",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"5,079",,,,,,,,,,,,
Living in Poverty,"1,734",,,,,,,,,,,,
At or Above Poverty Level,"3,345",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,126",,,,,,,,,,,,
Living in Poverty,390,,,,,,,,,,,,
At or Above Poverty Level,736,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
