label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"19,216",,,,,,,,,,,,
Under 5 Years,"1169",,,,,,,,,,,,
5 to 9 Years,883,,,,,,,,,,,,
10 to 14 Years,"1403",,,,,,,,,,,,
15 to 17 Years,828,,,,,,,,,,,,
18 to 24 Years,"1938",,,,,,,,,,,,
25 to 34 Years,"3082",,,,,,,,,,,,
35 to 44 Years,"2114",,,,,,,,,,,,
45 to 54 Years,"2265",,,,,,,,,,,,
55 to 64 Years,"2626",,,,,,,,,,,,
65 to 74 Years,"1544",,,,,,,,,,,,
75 to 84 Years,957,,,,,,,,,,,,
85 Years and Over,407,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"19,216",,,,,,,,,,,,
White Alone,"2,701",,,,,,,,,,,,
Black or African American Alone,"15,568",,,,,,,,,,,,
American Indian and Alaska Native Alone,58,,,,,,,,,,,,
Asian Alone,235,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,7,,,,,,,,,,,,
Some Other Race Alone,195,,,,,,,,,,,,
Two or More Races,452,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"12,995",,,,,,,,,,,,
Less than High School,"2,075",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"3,620",,,,,,,,,,,,
Some College,"4,123",,,,,,,,,,,,
Bachelor's Degree,"1,734",,,,,,,,,,,,
Master's Degree,"1,075",,,,,,,,,,,,
Professional School Degree,230,,,,,,,,,,,,
Doctorate Degree,138,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"4,161",,,,,,,,,,,,
Living in Poverty,"1,624",,,,,,,,,,,,
At or Above Poverty Level,"2,537",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"11,777",,,,,,,,,,,,
Living in Poverty,"2,672",,,,,,,,,,,,
At or Above Poverty Level,"9,105",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"2,904",,,,,,,,,,,,
Living in Poverty,572,,,,,,,,,,,,
At or Above Poverty Level,"2,332",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
