,Social Explorer - ACS 2019 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"34,397",,,,,,,,,,,,
Under 5 Years,"2,294",,,,,,,,,,,,
5 to 9 Years,"2,064",,,,,,,,,,,,
10 to 14 Years,"2,743",,,,,,,,,,,,
15 to 17 Years,"1,116",,,,,,,,,,,,
18 to 24 Years,"2,662",,,,,,,,,,,,
25 to 34 Years,"5,313",,,,,,,,,,,,
35 to 44 Years,"5,089",,,,,,,,,,,,
45 to 54 Years,"4,202",,,,,,,,,,,,
55 to 64 Years,"4,743",,,,,,,,,,,,
65 to 74 Years,"2,496",,,,,,,,,,,,
75 to 84 Years,"1,043",,,,,,,,,,,,
85 Years and Over,632,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"34,397",,,,,,,,,,,,
White Alone,"18,385",,,,,,,,,,,,
Black or African American Alone,"13,369",,,,,,,,,,,,
American Indian and Alaska Native Alone,70,,,,,,,,,,,,
Asian Alone,954,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,129,,,,,,,,,,,,
Some Other Race Alone,597,,,,,,,,,,,,
Two or More Races,893,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),,,,,,,,,,,,,
Population 25 Years and Over:,"23,518",,,,,,,,,,,,
Less than High School,"3,510",,,,,,,,,,,,
High School Diploma,"14,408",,,,,,,,,,,,
Bachelor's Degree or Better,"5,600",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"8,144",,,,,,,,,,,,
Living in Poverty,"3,331",,,,,,,,,,,,
At or Above Poverty Level,"4,813",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"21,920",,,,,,,,,,,,
Living in Poverty,"4,699",,,,,,,,,,,,
At or Above Poverty Level,"17,221",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"3,893",,,,,,,,,,,,
Living in Poverty,583,,,,,,,,,,,,
At or Above Poverty Level,"3,310",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
