label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"87,169",,,,,,,,,,,,
Under 5 Years,"5,952",,,,,,,,,,,,
5 to 9 Years,"5,619",,,,,,,,,,,,
10 to 14 Years,"5,942",,,,,,,,,,,,
15 to 17 Years,"3,459",,,,,,,,,,,,
18 to 24 Years,"9,015",,,,,,,,,,,,
25 to 34 Years,"16,539",,,,,,,,,,,,
35 to 44 Years,"13,488",,,,,,,,,,,,
45 to 54 Years,"11,790",,,,,,,,,,,,
55 to 64 Years,"8,139",,,,,,,,,,,,
65 to 74 Years,"3,608",,,,,,,,,,,,
75 to 84 Years,"2,462",,,,,,,,,,,,
85 Years and Over,"1,156",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"87,169",,,,,,,,,,,,
White Alone,"42,361",,,,,,,,,,,,
Black or African American Alone,"36,565",,,,,,,,,,,,
American Indian and Alaska Native Alone,104,,,,,,,,,,,,
Asian Alone,"3,817",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,16,,,,,,,,,,,,
Some Other Race Alone,"1,021",,,,,,,,,,,,
Two or More Races,"3,285",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"57,182",,,,,,,,,,,,
Less than High School,"11,022",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"14,638",,,,,,,,,,,,
Some College,"14,572",,,,,,,,,,,,
Bachelor's Degree,"10,159",,,,,,,,,,,,
Master's Degree,"4,415",,,,,,,,,,,,
Professional School Degree,"1,367",,,,,,,,,,,,
Doctorate Degree,"1,009",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"20,843",,,,,,,,,,,,
Living in Poverty,"9,259",,,,,,,,,,,,
At or Above Poverty Level,"11,584",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"58,671",,,,,,,,,,,,
Living in Poverty,"12,383",,,,,,,,,,,,
At or Above Poverty Level,"46,288",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"7,028",,,,,,,,,,,,
Living in Poverty,"1,306",,,,,,,,,,,,
At or Above Poverty Level,"5,722",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
