label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"87,951",,,,,,,,,,,,
Under 5 Years,"7,032",,,,,,,,,,,,
5 to 9 Years,"5,248",,,,,,,,,,,,
10 to 14 Years,"4,270",,,,,,,,,,,,
15 to 17 Years,"2,197",,,,,,,,,,,,
18 to 24 Years,"6,634",,,,,,,,,,,,
25 to 34 Years,"20,655",,,,,,,,,,,,
35 to 44 Years,"12,704",,,,,,,,,,,,
45 to 54 Years,"10,279",,,,,,,,,,,,
55 to 64 Years,"10,482",,,,,,,,,,,,
65 to 74 Years,"5,529",,,,,,,,,,,,
75 to 84 Years,"2,012",,,,,,,,,,,,
85 Years and Over,909,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"87,951",,,,,,,,,,,,
White Alone,"47,638",,,,,,,,,,,,
Black or African American Alone,"33,094",,,,,,,,,,,,
American Indian and Alaska Native Alone,321,,,,,,,,,,,,
Asian Alone,"3,398",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,16,,,,,,,,,,,,
Some Other Race Alone,963,,,,,,,,,,,,
Two or More Races,"2,521",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"62,570",,,,,,,,,,,,
Less than High School,"7,275",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"12,974",,,,,,,,,,,,
Some College,"16,851",,,,,,,,,,,,
Bachelor's Degree,"14,000",,,,,,,,,,,,
Master's Degree,"7,609",,,,,,,,,,,,
Professional School Degree,"2,068",,,,,,,,,,,,
Doctorate Degree,"1,793",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"18,532",,,,,,,,,,,,
Living in Poverty,"6,389",,,,,,,,,,,,
At or Above Poverty Level,"12,143",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"60,508",,,,,,,,,,,,
Living in Poverty,"10,738",,,,,,,,,,,,
At or Above Poverty Level,"49,770",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"8,097",,,,,,,,,,,,
Living in Poverty,"1,286",,,,,,,,,,,,
At or Above Poverty Level,"6,811",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
