label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"15,118",,,,,,,,,,,,
Under 5 Years,844,,,,,,,,,,,,
5 to 9 Years,622,,,,,,,,,,,,
10 to 14 Years,597,,,,,,,,,,,,
15 to 17 Years,369,,,,,,,,,,,,
18 to 24 Years,"1,826",,,,,,,,,,,,
25 to 34 Years,"4,290",,,,,,,,,,,,
35 to 44 Years,"2,109",,,,,,,,,,,,
45 to 54 Years,"1,808",,,,,,,,,,,,
55 to 64 Years,"1,301",,,,,,,,,,,,
65 to 74 Years,870,,,,,,,,,,,,
75 to 84 Years,412,,,,,,,,,,,,
85 Years and Over,70,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"15,118",,,,,,,,,,,,
White Alone,"5,396",,,,,,,,,,,,
Black or African American Alone,"8,444",,,,,,,,,,,,
American Indian and Alaska Native Alone,44,,,,,,,,,,,,
Asian Alone,675,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,36,,,,,,,,,,,,
Some Other Race Alone,160,,,,,,,,,,,,
Two or More Races,363,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"10,860",,,,,,,,,,,,
Less than High School,880,,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,530",,,,,,,,,,,,
Some College,"3,312",,,,,,,,,,,,
Bachelor's Degree,"2,928",,,,,,,,,,,,
Master's Degree,"1,238",,,,,,,,,,,,
Professional School Degree,640,,,,,,,,,,,,
Doctorate Degree,332,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,418",,,,,,,,,,,,
Living in Poverty,956,,,,,,,,,,,,
At or Above Poverty Level,"1,462",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"10,552",,,,,,,,,,,,
Living in Poverty,"2,036",,,,,,,,,,,,
At or Above Poverty Level,"8,516",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,342",,,,,,,,,,,,
Living in Poverty,368,,,,,,,,,,,,
At or Above Poverty Level,974,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
