label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"16,969",,,,,,,,,,,,
Under 5 Years,"1,092",,,,,,,,,,,,
5 to 9 Years,839,,,,,,,,,,,,
10 to 14 Years,736,,,,,,,,,,,,
15 to 17 Years,410,,,,,,,,,,,,
18 to 24 Years,"2,022",,,,,,,,,,,,
25 to 34 Years,"4,631",,,,,,,,,,,,
35 to 44 Years,"2,274",,,,,,,,,,,,
45 to 54 Years,"2,052",,,,,,,,,,,,
55 to 64 Years,"1,500",,,,,,,,,,,,
65 to 74 Years,914,,,,,,,,,,,,
75 to 84 Years,421,,,,,,,,,,,,
85 Years and Over,78,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"16,969",,,,,,,,,,,,
White Alone,"5,941",,,,,,,,,,,,
Black or African American Alone,"9,714",,,,,,,,,,,,
American Indian and Alaska Native Alone,44,,,,,,,,,,,,
Asian Alone,675,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,36,,,,,,,,,,,,
Some Other Race Alone,169,,,,,,,,,,,,
Two or More Races,390,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"11,870",,,,,,,,,,,,
Less than High School,"1,062",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,895",,,,,,,,,,,,
Some College,"3,650",,,,,,,,,,,,
Bachelor's Degree,"3,010",,,,,,,,,,,,
Master's Degree,"1,273",,,,,,,,,,,,
Professional School Degree,648,,,,,,,,,,,,
Doctorate Degree,332,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"3,063",,,,,,,,,,,,
Living in Poverty,"1,307",,,,,,,,,,,,
At or Above Poverty Level,"1,756",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"11,697",,,,,,,,,,,,
Living in Poverty,"2,450",,,,,,,,,,,,
At or Above Poverty Level,"9,247",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,403",,,,,,,,,,,,
Living in Poverty,382,,,,,,,,,,,,
At or Above Poverty Level,"1,021",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
