,Social Explorer - ACS 2010 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"14,651",,,,,,,,,,,,
Under 5 Years,"1,209",,,,,,,,,,,,
5 to 9 Years,911,,,,,,,,,,,,
10 to 14 Years,"1,169",,,,,,,,,,,,
15 to 17 Years,972,,,,,,,,,,,,
18 to 24 Years,"1,600",,,,,,,,,,,,
25 to 34 Years,"1,408",,,,,,,,,,,,
35 to 44 Years,"1,702",,,,,,,,,,,,
45 to 54 Years,"1,808",,,,,,,,,,,,
55 to 64 Years,"1,545",,,,,,,,,,,,
65 to 74 Years,781,,,,,,,,,,,,
75 to 84 Years,"1,000",,,,,,,,,,,,
85 Years and Over,546,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"14,651",,,,,,,,,,,,
White Alone,"1,201",,,,,,,,,,,,
Black or African American Alone,"12,954",,,,,,,,,,,,
American Indian and Alaska Native Alone,7,,,,,,,,,,,,
Asian Alone,65,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,12,,,,,,,,,,,,
Two or More Races,412,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"8,790",,,,,,,,,,,,
Less than High School,"2,442",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"2,998",,,,,,,,,,,,
Some College,"2,353",,,,,,,,,,,,
Bachelor's Degree,701,,,,,,,,,,,,
Master's Degree,205,,,,,,,,,,,,
Professional School Degree,24,,,,,,,,,,,,
Doctorate Degree,67,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"4,261",,,,,,,,,,,,
Living in Poverty,"1,871",,,,,,,,,,,,
At or Above Poverty Level,"2,390",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"8,063",,,,,,,,,,,,
Living in Poverty,"2,876",,,,,,,,,,,,
At or Above Poverty Level,"5,187",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,500",,,,,,,,,,,,
Living in Poverty,432,,,,,,,,,,,,
At or Above Poverty Level,"1,068",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
