label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"61,356",,,,,,,,,,,,
Under 5 Years,"3,952",,,,,,,,,,,,
5 to 9 Years,"3,987",,,,,,,,,,,,
10 to 14 Years,"4,800",,,,,,,,,,,,
15 to 17 Years,"3,832",,,,,,,,,,,,
18 to 24 Years,"6,604",,,,,,,,,,,,
25 to 34 Years,"7,205",,,,,,,,,,,,
35 to 44 Years,"6,607",,,,,,,,,,,,
45 to 54 Years,"9,140",,,,,,,,,,,,
55 to 64 Years,"6,520",,,,,,,,,,,,
65 to 74 Years,"4,334",,,,,,,,,,,,
75 to 84 Years,"3,435",,,,,,,,,,,,
85 Years and Over,940,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"61,356",,,,,,,,,,,,
White Alone,"1,340",,,,,,,,,,,,
Black or African American Alone,"59,441",,,,,,,,,,,,
American Indian and Alaska Native Alone,5,,,,,,,,,,,,
Asian Alone,3,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,132,,,,,,,,,,,,
Two or More Races,435,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"38,181",,,,,,,,,,,,
Less than High School,"10,409",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"12,813",,,,,,,,,,,,
Some College,"11,171",,,,,,,,,,,,
Bachelor's Degree,"2,785",,,,,,,,,,,,
Master's Degree,892,,,,,,,,,,,,
Professional School Degree,75,,,,,,,,,,,,
Doctorate Degree,36,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"16,142",,,,,,,,,,,,
Living in Poverty,"8,001",,,,,,,,,,,,
At or Above Poverty Level,"8,141",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"34,474",,,,,,,,,,,,
Living in Poverty,"9,997",,,,,,,,,,,,
At or Above Poverty Level,"24,477",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"8,471",,,,,,,,,,,,
Living in Poverty,"1,498",,,,,,,,,,,,
At or Above Poverty Level,"6,973",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
