label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"48,604",,,,,,,,,,,,
Under 5 Years,"3,056",,,,,,,,,,,,
5 to 9 Years,"2,997",,,,,,,,,,,,
10 to 14 Years,"3,192",,,,,,,,,,,,
15 to 17 Years,"1,751",,,,,,,,,,,,
18 to 24 Years,"4,608",,,,,,,,,,,,
25 to 34 Years,"6,107",,,,,,,,,,,,
35 to 44 Years,"4,727",,,,,,,,,,,,
45 to 54 Years,"6,441",,,,,,,,,,,,
55 to 64 Years,"7,293",,,,,,,,,,,,
65 to 74 Years,"4,592",,,,,,,,,,,,
75 to 84 Years,"2,659",,,,,,,,,,,,
85 Years and Over,"1,181",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"48,604",,,,,,,,,,,,
White Alone,"1,194",,,,,,,,,,,,
Black or African American Alone,"46,327",,,,,,,,,,,,
American Indian and Alaska Native Alone,94,,,,,,,,,,,,
Asian Alone,82,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,16,,,,,,,,,,,,
Some Other Race Alone,134,,,,,,,,,,,,
Two or More Races,757,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"33,000",,,,,,,,,,,,
Less than High School,"6,888",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"11,746",,,,,,,,,,,,
Some College,"10,361",,,,,,,,,,,,
Bachelor's Degree,"2,399",,,,,,,,,,,,
Master's Degree,"1,407",,,,,,,,,,,,
Professional School Degree,112,,,,,,,,,,,,
Doctorate Degree,87,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"10,701",,,,,,,,,,,,
Living in Poverty,"4,754",,,,,,,,,,,,
At or Above Poverty Level,"5,947",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"28,179",,,,,,,,,,,,
Living in Poverty,"8,096",,,,,,,,,,,,
At or Above Poverty Level,"20,083",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"8,170",,,,,,,,,,,,
Living in Poverty,"1,312",,,,,,,,,,,,
At or Above Poverty Level,"6,858",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
