label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"13,907",,,,,,,,,,,,
Under 5 Years,554,,,,,,,,,,,,
5 to 9 Years,638,,,,,,,,,,,,
10 to 14 Years,718,,,,,,,,,,,,
15 to 17 Years,342,,,,,,,,,,,,
18 to 24 Years,"1,287",,,,,,,,,,,,
25 to 34 Years,"3,273",,,,,,,,,,,,
35 to 44 Years,"2,104",,,,,,,,,,,,
45 to 54 Years,"2,069",,,,,,,,,,,,
55 to 64 Years,"1,536",,,,,,,,,,,,
65 to 74 Years,731,,,,,,,,,,,,
75 to 84 Years,410,,,,,,,,,,,,
85 Years and Over,245,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"13,907",,,,,,,,,,,,
White Alone,"9,013",,,,,,,,,,,,
Black or African American Alone,"4,180",,,,,,,,,,,,
American Indian and Alaska Native Alone,34,,,,,,,,,,,,
Asian Alone,256,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,36,,,,,,,,,,,,
Two or More Races,388,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"10,368",,,,,,,,,,,,
Less than High School,"1,640",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,960",,,,,,,,,,,,
Some College,"2,998",,,,,,,,,,,,
Bachelor's Degree,"2,281",,,,,,,,,,,,
Master's Degree,"1,023",,,,,,,,,,,,
Professional School Degree,265,,,,,,,,,,,,
Doctorate Degree,201,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,252",,,,,,,,,,,,
Living in Poverty,704,,,,,,,,,,,,
At or Above Poverty Level,"1,548",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"10,200",,,,,,,,,,,,
Living in Poverty,"1,541",,,,,,,,,,,,
At or Above Poverty Level,"8,659",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"1,362",,,,,,,,,,,,
Living in Poverty,137,,,,,,,,,,,,
At or Above Poverty Level,"1,225",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
