Name,Level,Address,Lat,Long
Academy of Entrepreneurship Studies Middle @ L'Ouverture (6-8),Middle,"3021 Hickory
St. Louis, MO 63104",38.622807,-90.2275871
Adams Elementary (PK-6),Elementary,"1311 Tower Grove Ave
St. Louis, MO 63110",38.6249242,-90.2570965
Ames VPA Elementary (PK-5),Elementary,"2900 Hadley
St. Louis, MO 63107",38.6529035,-90.1953845
Ashland Elementary (PK-6),Elementary,"3921 N. Newstead
St. Louis, MO 63115",38.6715099,-90.235986
Beaumont Technical Center,College and Career Readiness,"3836 Natural Bridge
St. Louis, MO 63107",38.6625664,-90.2218896
Bryan Hill Elementary (PK-5),Elementary,"2128 Gano
St. Louis, MO 63107",38.6711807,-90.2125598
Buder Elementary (PK-5),Elementary,"5319 Lansdowne Ave
St. Louis, MO 63109",38.5889997,-90.2830252
Busch Middle School of Character (6-8),Middle,"5910 Clifton
St. Louis, MO 63109",38.5780968,-90.297107
Carnahan High School of the Future (9-12),High,"4041 S. Broadway
St. Louis, MO 63118",38.5817783,-90.2287167
Carr Lane VPA Middle School (6-8),Middle,"1004 N. Jefferson
St. Louis, MO 63106",38.6394374,-90.2123767
Central VPA High School (9-12),High,"3125 S. Kingshighway
St. Louis, MO 63139",38.6046435,-90.2709163
CJA Elementary (PK-5),Elementary,"5031 Potomac
St. Louis, MO 63139",38.5979823,-90.2764042
Clyde C. Miller Career Academy (9-12),High,"1000 N. Grand
St. Louis, MO 63106",38.6427058,-90.2282397
Collegiate School of Medicine & Bioscience (9-12),High,"4939 Kemper Ave.
St. Louis, MO 63139",38.6045375,-90.2709084
Columbia Elementary (PK-5),Elementary,"3120 St. Louis Ave
St. Louis, MO 63106",38.65354,-90.2190318
Compton-Drew ILC Middle School (6-8),Middle,"5130 Oakland
St. Louis, MO 63110",38.6293192,-90.2720784
Dewey IS Elementary School (PK-5),Elementary,6746 Clayton,42.048873,-80.2322349
Educational Therapeutic School @ Madison (PK-8),Alternative,"1118 S. 7th
St. Louis, MO 63104",38.6163553,-90.1958238
Fresh Start Academy @ Sumner (ages 17-21),Alternative,"4248 W. Cottage Ave
St. Louis, MO 63113",38.6596117,-90.2396508
Froebel Literacy Academy (PK-5),Elementary,"3709 Nebraska Ave
St. Louis, MO 63118",38.5884106,-90.2339206
Gateway MST Elementary (PK-5),Elementary,"#4 Gateway Dr
St. Louis, MO 63106",38.6416511,-90.2111511
Gateway MST Middle School (6-8),Middle,"1200 N. Jefferson
St. Louis, MO 63106",38.6408766,-90.2117865
Gateway STEM High School (9-12),High,5101 McRee,38.6218646,-90.2696336
Gateway-Michael School (PK-8),Special Education,#2 Gateway Dr,38.6816454,-90.3966488
George Washington Carver Elementary (PK-5),Elementary,"3325 Bell Ave
St. Louis, MO 63106",38.6422176,-90.2261298
Gilkey Pamoja @ Cole School (PK-8),Elementary/Middle,"3935 Enright
St. Louis, MO 63108",38.6451643,-90.2382088
Griscom (5-12),Alternative,"3847 Enright Ave
St. Louis, MO 63108",38.6443915,-90.2354599
Hamilton Elementary (PK-5),Elementary,"5819 Westminster Place
St. Louis, MO 63112",38.6530358,-90.2899993
Herzog Academy (PK-5),Elementary,"5831 Pamplin Place
St. Louis, MO 63147",38.7111386,-90.252213
Hickey Elementary (PK-5),Elementary,"3111 Cora Ave
St. Louis, MO 63115",38.6691924,-90.2452103
Hodgen Tech (PK-6),Elementary,"1616 California
St. Louis, MO 63104",38.6166039,-90.2245402
Humboldt Academy of Higher Learning (3-5),Elementary,2516 S. 9th St,36.7099012,-119.7588678
Innovative Concept Academy @ Blewett (9-12),High,"1927 Cass Ave
St. Louis, MO 63106",38.6437136,-90.2035867
Jefferson Elementary (PK-6),Elementary,"1301 Hogan St
St. Louis, MO 63106",38.6407642,-90.2034402
Lexington Elementary (PK-5),Elementary,"5030 Lexington Ave
St. Louis, MO 63115",38.6744133,-90.2548898
Long International Middle School (6-8),Middle,"5028 Morganford Rd
St. Louis, MO 63116",38.5801378,-90.2672216
Lyon Academy @ Blow (PK-8),Elementary/Middle,"516 Loughborough
St. Louis, MO 63111",38.5549381,-90.2569066
Mallinckrodt Academy of Gifted Instruction (PK-5),Elementary,"6020 Pernod
St. Louis, MO 63139",38.5963529,-90.2938152
Mann Elementary (PK-5),Elementary,"4047 Juniata St
St. Louis, MO 63116",38.6022105,-90.2544168
Mason School of Academic and Cultural Literacy (PK-6),Elementary,"6031 Southwest Ave
St. Louis, MO 63139",38.6108605,-90.2902434
McKinley CLA High School (9-12),High,"2156 Russell
St. Louis, MO 63104",38.6101246,-90.2193809
McKinley CLA Middle School (6-8),Middle,"2156 Russell Blvd
St. Louis, MO 63104",38.6101246,-90.2193809
Meramec Elementary (Pk-5),Elementary,"2745 Meramec St
St. Louis, MO 63118",38.5798439,-90.2323447
Metro A&C High School (9-12),High,"4015 McPherson
St. Louis, MO 63108",38.6408529,-90.2430107
Monroe Elementary (PK-6),Elementary,"3641 Missouri Ave
St. Louis, MO 63118",38.5881001,-90.2249792
Mullanphy ILC Elementary (PK-5),Elementary,"4221 Shaw Blvd
St. Louis, MO 63110",38.6171444,-90.2545231
Nahed Chapman New American Academy (K-8),ESOL,"1547 South Theresa
St. Louis, MO 63104",38.6191071,-90.2371092
Nahed Chapman New American Academy @ Roosevelt (9-10),ESOL,"3230 Hartford Ave
St. Louis, MO 63118",38.6002121,-90.2368527
Nance Elementary (PK-6),Elementary,"8959 Riverview Blvd
St. Louis, MO 63147",38.7214332,-90.2411046
Nottingham CAJT High School (9-12),High,"4915 Donovan Ave
St. Louis, MO 63109",38.5875933,-90.3043512
Oak Hill Elementary (PK-5),Elementary,"4300 Morganford Rd
St. Louis, MO 63116",38.5884806,-90.2639083
Patrick Henry Downtown Academy (PK-6),Elementary,"1220 N. 10th St
St. Louis, MO 63106",38.6371793,-90.191284
Peabody Elementary (PK-5),Elementary,"1224 S. 14th St
St. Louis, MO 63104",38.6168314,-90.2050515
Pierre Laclede Junior Career Academy (PK-8),Elementary/Middle,"5821 Kennerly Ave
St. Louis, MO 63112",38.6773089,-90.2765413
Roosevelt High School (9-12),High,"3230 Hartford Ave
St. Louis, MO 63118",38.6002121,-90.2368527
Shaw VPA Elementary (PK-5),Elementary,"5329 Columbia
St. Louis, MO 63139",38.611798,-90.277007
Shenandoah Elementary (PK-6),Elementary,"3412 Shenandoah Ave
St. Louis, MO 63104",38.608791,-90.2371563
Sigel Elementary (PK-6),Elementary,"2050 Allen Ave
St. Louis, MO 63104",38.6103907,-90.216661
Soldan IS High School (9-12),High,"918 N. Union
St. Louis, MO 63108",38.655402,-90.2719008
Stix ECC (PK-2),Early Childhood Center,"647 Tower Grove
St. Louis, MO 63110",38.6321402,-90.2556231
Sumner High School (9-12),High,"4268 W. Cottage Ave
St. Louis, MO 63113",38.6590753,-90.237478
Vashon High School (9-12),High,"3035 Cass Ave
St. Louis, MO 63106",38.6478602,-90.221242
Walbridge STEAM Academy (PK-5),Elementary,"5000 Davison Ave
St. Louis, MO 63120",38.6935824,-90.2509297
Washington Montessori Elementary (PK-5),Elementary,"1130 N. Euclid
St. Louis, MO 63113",38.6569262,-90.2585356
Wilkinson ECC @ Roe (PK-2),Early Childhood Center,"1921 Prather
St. Louis, MO 63139",38.6220253,-90.3044981
Woerner Elementary (PK-5),Elementary,"6131 Leona
St. Louis, MO 63116",38.5697189,-90.2687532
Woodward Elementary (PK-5),Elementary,"725 Bellerive Blvd
St. Louis, MO 63111",38.5657365,-90.2500407
Yeatman/Liddell College Preparatory Middle School (6-8),Middle,"4265 Athlone Ave
St. Louis, MO 63115",38.6754506,-90.2283503
