label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"5,922,314",,,,,,,,,,,,
Under 5 Years,"386,777",,,,,,,,,,,,
5 to 9 Years,"385,737",,,,,,,,,,,,
10 to 14 Years,"401,187",,,,,,,,,,,,
15 to 17 Years,"254,151",,,,,,,,,,,,
18 to 24 Years,"587,597",,,,,,,,,,,,
25 to 34 Years,"754,490",,,,,,,,,,,,
35 to 44 Years,"778,584",,,,,,,,,,,,
45 to 54 Years,"878,806",,,,,,,,,,,,
55 to 64 Years,"682,261",,,,,,,,,,,,
65 to 74 Years,"429,122",,,,,,,,,,,,
75 to 84 Years,"272,996",,,,,,,,,,,,
85 Years and Over,"110,606",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"5,922,314",,,,,,,,,,,,
White Alone,"4,938,222",,,,,,,,,,,,
Black or African American Alone,"679,062",,,,,,,,,,,,
American Indian and Alaska Native Alone,"22,829",,,,,,,,,,,,
Asian Alone,"92,147",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,"5,201",,,,,,,,,,,,
Some Other Race Alone,"61,101",,,,,,,,,,,,
Two or More Races,"123,752",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"3,906,865",,,,,,,,,,,,
Less than High School,"540,668",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"1,272,495",,,,,,,,,,,,
Some College,"1,115,052",,,,,,,,,,,,
Bachelor's Degree,"618,502",,,,,,,,,,,,
Master's Degree,"258,270",,,,,,,,,,,,
Professional School Degree,"63,390",,,,,,,,,,,,
Doctorate Degree,"38,488",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"1,399,186",,,,,,,,,,,,
Living in Poverty,"270,147",,,,,,,,,,,,
At or Above Poverty Level,"1,129,039",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"3,571,618",,,,,,,,,,,,
Living in Poverty,"460,111",,,,,,,,,,,,
At or Above Poverty Level,"3,111,507",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"773,786",,,,,,,,,,,,
Living in Poverty,"72,338",,,,,,,,,,,,
At or Above Poverty Level,"701,448",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
