label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"37,371",,,,,,,,,,,,
Under 5 Years,"1,132",,,,,,,,,,,,
5 to 9 Years,965,,,,,,,,,,,,
10 to 14 Years,"1,121",,,,,,,,,,,,
15 to 17 Years,757,,,,,,,,,,,,
18 to 24 Years,"9,410",,,,,,,,,,,,
25 to 34 Years,"7,329",,,,,,,,,,,,
35 to 44 Years,"3,741",,,,,,,,,,,,
45 to 54 Years,"4,654",,,,,,,,,,,,
55 to 64 Years,"3,722",,,,,,,,,,,,
65 to 74 Years,"2,352",,,,,,,,,,,,
75 to 84 Years,"1,498",,,,,,,,,,,,
85 Years and Over,690,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"37,371",,,,,,,,,,,,
White Alone,"21,665",,,,,,,,,,,,
Black or African American Alone,"12,206",,,,,,,,,,,,
American Indian and Alaska Native Alone,98,,,,,,,,,,,,
Asian Alone,"2,535",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,173,,,,,,,,,,,,
Two or More Races,694,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"23,986",,,,,,,,,,,,
Less than High School,"3,012",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"3,932",,,,,,,,,,,,
Some College,"4,528",,,,,,,,,,,,
Bachelor's Degree,"5,404",,,,,,,,,,,,
Master's Degree,"3,364",,,,,,,,,,,,
Professional School Degree,"2,522",,,,,,,,,,,,
Doctorate Degree,"1,224",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2010 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"3,856",,,,,,,,,,,,
Living in Poverty,"1,233",,,,,,,,,,,,
At or Above Poverty Level,"2,623",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2010 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"25,291",,,,,,,,,,,,
Living in Poverty,"6,895",,,,,,,,,,,,
At or Above Poverty Level,"18,396",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2010 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"4,181",,,,,,,,,,,,
Living in Poverty,932,,,,,,,,,,,,
At or Above Poverty Level,"3,249",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
