label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"69,341",,,,,,,,,,,,
Under 5 Years,"3,145",,,,,,,,,,,,
5 to 9 Years,"2,246",,,,,,,,,,,,
10 to 14 Years,"3,273",,,,,,,,,,,,
15 to 17 Years,"2,063",,,,,,,,,,,,
18 to 24 Years,"10,538",,,,,,,,,,,,
25 to 34 Years,"14,055",,,,,,,,,,,,
35 to 44 Years,"7,624",,,,,,,,,,,,
45 to 54 Years,"7,130",,,,,,,,,,,,
55 to 64 Years,"8,681",,,,,,,,,,,,
65 to 74 Years,"6,211",,,,,,,,,,,,
75 to 84 Years,"3,006",,,,,,,,,,,,
85 Years and Over,"1,369",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"69,341",,,,,,,,,,,,
White Alone,"25,510",,,,,,,,,,,,
Black or African American Alone,"37,547",,,,,,,,,,,,
American Indian and Alaska Native Alone,139,,,,,,,,,,,,
Asian Alone,"4,062",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,15,,,,,,,,,,,,
Some Other Race Alone,468,,,,,,,,,,,,
Two or More Races,"1,600",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"48,076",,,,,,,,,,,,
Less than High School,"5,625",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"9,945",,,,,,,,,,,,
Some College,"11,817",,,,,,,,,,,,
Bachelor's Degree,"9,172",,,,,,,,,,,,
Master's Degree,"6,360",,,,,,,,,,,,
Professional School Degree,"2,899",,,,,,,,,,,,
Doctorate Degree,"2,258",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"10,511",,,,,,,,,,,,
Living in Poverty,"3,679",,,,,,,,,,,,
At or Above Poverty Level,"6,832",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"43,887",,,,,,,,,,,,
Living in Poverty,"10,576",,,,,,,,,,,,
At or Above Poverty Level,"33,311",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"10,165",,,,,,,,,,,,
Living in Poverty,"1,891",,,,,,,,,,,,
At or Above Poverty Level,"8,274",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
