label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"308,174",,,,,,,,,,,,
Under 5 Years,"19,673",,,,,,,,,,,,
5 to 9 Years,"15,286",,,,,,,,,,,,
10 to 14 Years,"16,211",,,,,,,,,,,,
15 to 17 Years,"8,649",,,,,,,,,,,,
18 to 24 Years,"29,083",,,,,,,,,,,,
25 to 34 Years,"61,349",,,,,,,,,,,,
35 to 44 Years,"40,386",,,,,,,,,,,,
45 to 54 Years,"36,559",,,,,,,,,,,,
55 to 64 Years,"40,502",,,,,,,,,,,,
65 to 74 Years,"24,252",,,,,,,,,,,,
75 to 84 Years,"11,276",,,,,,,,,,,,
85 Years and Over,"4,948",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"308,174",,,,,,,,,,,,
White Alone,"143,401",,,,,,,,,,,,
Black or African American Alone,"143,018",,,,,,,,,,,,
American Indian and Alaska Native Alone,787,,,,,,,,,,,,
Asian Alone,"10,365",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,212,,,,,,,,,,,,
Some Other Race Alone,"2,979",,,,,,,,,,,,
Two or More Races,"7,412",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"219,272",,,,,,,,,,,,
Less than High School,"26,828",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"52,444",,,,,,,,,,,,
Some College,"60,331",,,,,,,,,,,,
Bachelor's Degree,"43,290",,,,,,,,,,,,
Master's Degree,"23,772",,,,,,,,,,,,
Professional School Degree,"7,134",,,,,,,,,,,,
Doctorate Degree,"5,473",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"58,940",,,,,,,,,,,,
Living in Poverty,"19,951",,,,,,,,,,,,
At or Above Poverty Level,"38,989",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"201,610",,,,,,,,,,,,
Living in Poverty,"39,397",,,,,,,,,,,,
At or Above Poverty Level,"162,213",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"39,139",,,,,,,,,,,,
Living in Poverty,"6,064",,,,,,,,,,,,
At or Above Poverty Level,"33,075",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
