"GEO_ID","id"
"NAME","Geographic Area Name"
"C08301_001E","Estimate!!Total:"
"C08301_001M","Margin of Error!!Total:"
"C08301_002E","Estimate!!Total:!!Car, truck, or van:"
"C08301_002M","Margin of Error!!Total:!!Car, truck, or van:"
"C08301_003E","Estimate!!Total:!!Car, truck, or van:!!Drove alone"
"C08301_003M","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone"
"C08301_004E","Estimate!!Total:!!Car, truck, or van:!!Carpooled:"
"C08301_004M","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:"
"C08301_005E","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool"
"C08301_005M","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool"
"C08301_006E","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool"
"C08301_006M","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool"
"C08301_007E","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool"
"C08301_007M","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool"
"C08301_008E","Estimate!!Total:!!Public transportation (excluding taxicab)"
"C08301_008M","Margin of Error!!Total:!!Public transportation (excluding taxicab)"
"C08301_009E","Estimate!!Total:!!Walked"
"C08301_009M","Margin of Error!!Total:!!Walked"
"C08301_010E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means"
"C08301_010M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means"
"C08301_011E","Estimate!!Total:!!Worked from home"
"C08301_011M","Margin of Error!!Total:!!Worked from home"
