,Social Explorer - ACS 2019 (5-Year Estimates),,,,,,,,,,,,
Statistics,TOTAL (All Selected Census Tracts),,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"11,551",,,,,,,,,,,,
Under 5 Years,690,,,,,,,,,,,,
5 to 9 Years,643,,,,,,,,,,,,
10 to 14 Years,555,,,,,,,,,,,,
15 to 17 Years,344,,,,,,,,,,,,
18 to 24 Years,"1,087",,,,,,,,,,,,
25 to 34 Years,"1,512",,,,,,,,,,,,
35 to 44 Years,"1,163",,,,,,,,,,,,
45 to 54 Years,"2,032",,,,,,,,,,,,
55 to 64 Years,"1,430",,,,,,,,,,,,
65 to 74 Years,"1,299",,,,,,,,,,,,
75 to 84 Years,626,,,,,,,,,,,,
85 Years and Over,170,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"11,551",,,,,,,,,,,,
White Alone,222,,,,,,,,,,,,
Black or African American Alone,"11,024",,,,,,,,,,,,
American Indian and Alaska Native Alone,13,,,,,,,,,,,,
Asian Alone,73,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,18,,,,,,,,,,,,
Two or More Races,201,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),,,,,,,,,,,,,
Population 25 Years and Over:,"8,232",,,,,,,,,,,,
Less than High School,"2,011",,,,,,,,,,,,
High School Diploma,"5,487",,,,,,,,,,,,
Bachelor's Degree or Better,734,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"2,155",,,,,,,,,,,,
Living in Poverty,799,,,,,,,,,,,,
At or Above Poverty Level,"1,356",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"7,210",,,,,,,,,,,,
Living in Poverty,"1,956",,,,,,,,,,,,
At or Above Poverty Level,"5,254",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"2,076",,,,,,,,,,,,
Living in Poverty,226,,,,,,,,,,,,
At or Above Poverty Level,"1,850",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2021,,,,,,,,,,,,,
